5982: 0x81c813c
5989: 0x81c8305
5991: 0x81c8518
5993: 0x81c8562
5994: 0x81c85e4
5999: 0x81c8942
5: 0x813eff7
6000: 0x81c89a2
6001: 0x81c89c8
6003: 0x81c8b4e
6004: 0x81c8d48
6006: 0x81c8ecd
6007: 0x81c8f30
6008: 0x81c8f3e
6010: 0x81c9124
6030: 0x81c99e7
6031: 0x81c9a27
6034: 0x81c9ad7
6035: 0x81c9c6b
6036: 0x81c9b8c
6037: 0x81c9b5c
6038: 0x81c9bcc
6039: 0x81c9ba2
6040: 0x81c9be2
6041: 0x81c9ce1
6042: 0x81c9d86
6044: 0x81c9df6
6045: 0x81c9e7d
6046: 0x81c9e3a
6048: 0x81c9e06
6049: 0x81ca137
6052: 0x81ca1d6
6053: 0x81ca1c0
6054: 0x81ca258
6056: 0x81ca388
6058: 0x81ca50b
6059: 0x81ca571
6060: 0x81ca548
6064: 0x81ca7e8
6066: 0x81ca831
6067: 0x81ca947
6069: 0x81caa1c
6071: 0x81caa6c
6074: 0x81cab7b
6075: 0x81cac1f
6077: 0x81cac8b
6080: 0x81caff7
6083: 0x81cb097
6084: 0x81cb080
6085: 0x81cb114
6086: 0x81cb1a5
6087: 0x81cb219
6091: 0x81cb2b4
6092: 0x81cb2c4
6096: 0x81cb3b2
6104: 0x81cb832
6105: 0x81cb8c5
6107: 0x81cb916
6109: 0x81cbae3
6110: 0x81cba5c
6111: 0x81cba32
6112: 0x81cba72
6113: 0x81cbb5d
6114: 0x81cbc1f
6116: 0x81cbc8b
6117: 0x81cbc75
6118: 0x81cc01a
6119: 0x81cc059
6121: 0x81cc075
6124: 0x81cc117
6125: 0x81cc1f6
6126: 0x81cc237
6127: 0x81cc264
6132: 0x81cc274
6133: 0x81cc5a8
6138: 0x81cc697
6157: 0x81cd0ca
6159: 0x81cd10b
6160: 0x81cd1e7
6161: 0x81cd229
6162: 0x81cd257
6167: 0x81cd267
6169: 0x81cd33d
6177: 0x81cd938
6179: 0x81cd97a
6180: 0x81cdbdb
6181: 0x81cdc45
6183: 0x81cdcb5
6185: 0x81cdd55
6186: 0x81cddcf
6187: 0x81cde11
618: 0x814dbe8
6192: 0x81cdf95
6193: 0x81ce02e
6205: 0x81ce3d8
6209: 0x81ce495
6210: 0x81ce506
6211: 0x81ce72a
6212: 0x81ce61c
6213: 0x81ce5e5
6214: 0x81ce632
6215: 0x81ce7d1
6216: 0x81ce848
6220: 0x81ce8eb
6221: 0x81ceba8
6222: 0x81cec7d
6223: 0x81cec95
6224: 0x81cec01
6225: 0x81ced0f
6231: 0x81cefd8
6232: 0x81cf036
6234: 0x81cf163
6236: 0x81cf0a0
6237: 0x81cf0e2
6240: 0x81cf199
6241: 0x81cf1f8
6243: 0x81cf39d
6244: 0x81cf541
6245: 0x81cf4f6
6246: 0x81cf58c
6248: 0x81cf5fa
6249: 0x81cf6f4
6251: 0x81cf726
6252: 0x81cf755
6254: 0x81cf78e
6255: 0x81cf7db
6260: 0x81cf874
6261: 0x81cf94b
6265: 0x81cf9b3
6365: 0x81d29c8
6366: 0x81d2a91
6368: 0x81d2aa3
6389: 0x81d3204
6397: 0x81d33b2
6401: 0x81d33ee
6403: 0x81d3422
6404: 0x81d34f0
6405: 0x81d35be
6406: 0x81d348f
6407: 0x81d35e2
6408: 0x81d359e
6409: 0x81d3557
6410: 0x81d35b0
6411: 0x81d360e
6412: 0x81d3627
6413: 0x81d3648
6414: 0x81d3999
6415: 0x81d3783
6416: 0x81d39ac
6417: 0x81d393b
6418: 0x81d3a6e
6419: 0x81d3a11
6420: 0x81d3a5d
6436: 0x81d3fbb
6437: 0x81d4030
6439: 0x81d4008
6440: 0x81d4071
6442: 0x81d41e3
6443: 0x81d41f8
6444: 0x81d427c
6445: 0x81d412a
6446: 0x81d42fc
6447: 0x81d42c9
6448: 0x81d4313
6449: 0x81d423b
6450: 0x81d4268
6451: 0x81d433b
6452: 0x81d4369
6453: 0x81d4391
6454: 0x81d43b7
6455: 0x81d43e5
6456: 0x81d4407
6467: 0x81d467b
6468: 0x81d46b4
6469: 0x81d46c4
6471: 0x81d4767
6472: 0x81d4891
6474: 0x81d491c
6475: 0x81d49cb
6480: 0x81d4b94
6483: 0x81d4bc8
6484: 0x81d4bab
6487: 0x81d4c7c
6489: 0x81d4d35
6490: 0x81d4cc1
6491: 0x81d4d47
6492: 0x81d4d0c
6493: 0x81d4d64
6495: 0x81d4f16
6497: 0x81d635b
6498: 0x81d5009
6500: 0x81d5066
6505: 0x81d525b
6518: 0x81d5ca7
6536: 0x81d55bb
6541: 0x81d582a
6553: 0x81d58af
6557: 0x81d5c6b
6575: 0x81d5cfc
6579: 0x81d5d5e
6581: 0x81d5da8
6584: 0x81d5e67
6592: 0x81d5f5d
6595: 0x81d5ff8
6599: 0x81d60ad
6600: 0x81d607d
6603: 0x81d6103
6605: 0x81d6160
6658: 0x81d6bfc
6662: 0x81d6cac
6663: 0x81d6d5f
6664: 0x81d6da4
6671: 0x81d6e98
6673: 0x81d6eda
680: 0x814f35b
708: 0x814f397
715: 0x815046e
717: 0x8150519
721: 0x81505ea
723: 0x815062e
732: 0x8150812
733: 0x8150832
738: 0x81508d4
739: 0x8150937
741: 0x8150965
746: 0x8150a4e
75: 0x8141d6b
763: 0x81510d2
764: 0x81510f4
765: 0x8151198
769: 0x8151283
76: 0x8142010
770: 0x81512c7
772: 0x81512de
774: 0x8151436
775: 0x8151472
785: 0x8151584
78: 0x8141e2e
792: 0x8151637
